gene_name,old_annotation,GOs,pfams,signalP,TMHMM
LOC105256654,uncharacterized protein LOC105256654,GO:0005524|ATP binding; GO:0016301|kinase activity; GO:0016310|phosphorylation,"PF00391|PEP-utilising enzyme, mobile domain; PF01326|Pyruvate phosphate dikinase, PEP/pyruvate binding domain",0,0
LOC105256655,cleft lip and palate transmembrane protein 1-like protein,GO:0016021|integral component of membrane,PF05602|Cleft lip and palate transmembrane protein 1 (CLPTM1),0,4
LOC105256656,uncharacterized protein LOC105256656,NA,NA,0,0
LOC105256657,pancreatic triacylglycerol lipase isoform X3,GO:0052689|carboxylic ester hydrolase activity,PF00151|Lipase,0,1
LOC105256658,uncharacterized protein LOC105256658 isoform X3,NA,NA,1,0
LOC105256659,proteasome subunit beta type-2-like,GO:0004298|threonine-type endopeptidase activity; GO:0005839|proteasome core complex; GO:0051603|proteolysis involved in cellular protein catabolic process,PF00227|Proteasome subunit,0,0
LOC105256660,minor histocompatibility antigen H13,GO:0004190|aspartic-type endopeptidase activity; GO:0016021|integral component of membrane,PF04258|Signal peptide peptidase,0,8
LOC105256661,ribonuclease 3,GO:0004525|ribonuclease III activity; GO:0006396|RNA processing,PF00636|Ribonuclease III domain; PF14622|Ribonuclease-III-like; PF00035|Double-stranded RNA binding motif,0,0
LOC105256662,peroxisomal acyl-coenzyme A oxidase 3,GO:0003997|acyl-CoA oxidase activity; GO:0005777|peroxisome; GO:0006635|fatty acid beta-oxidation,"PF00441|Acyl-CoA dehydrogenase, C-terminal domain; PF02770|Acyl-CoA dehydrogenase, middle domain; PF01756|Acyl-CoA oxidase",0,0
LOC105256663,endoribonuclease Dicer isoform X1,GO:0003676|nucleic acid binding; GO:0004525|ribonuclease III activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0006396|RNA processing,PF03368|Dicer dimerisation domain; PF00270|DEAD/DEAH box helicase; PF00636|Ribonuclease III domain; PF00636|Ribonuclease III domain; PF00271|Helicase conserved C-terminal domain; PF02170|PAZ domain,0,0
LOC105256665,mediator of RNA polymerase II transcription subunit 12,NA,"PF00372|Hemocyanin, copper containing domain; PF03722|Hemocyanin, all-alpha domain; PF03723|Hemocyanin, ig-like domain",2,0
LOC105256667,uncharacterized protein LOC105256667,NA,NA,0,1
LOC105256668,probable G-protein coupled receptor Mth-like 10,NA,NA,1,7
LOC105256670,coiled-coil domain-containing protein 1-like,NA,NA,0,0
LOC105256672,"probable medium-chain specific acyl-CoA dehydrogenase, mitochondrial","GO:0016627|oxidoreductase activity, acting on the CH-CH group of donors; GO:0050660|flavin adenine dinucleotide binding; GO:0055114|oxidation-reduction process","PF00441|Acyl-CoA dehydrogenase, C-terminal domain; PF02771|Acyl-CoA dehydrogenase, N-terminal domain; PF02770|Acyl-CoA dehydrogenase, middle domain",0,0
LOC105256674,uncharacterized protein LOC105256674,NA,PF00024|PAN domain; PF00024|PAN domain; PF00024|PAN domain,3,1
LOC105256675,uncharacterized protein LOC105256675,NA,PF07686|Immunoglobulin V-set domain,1,1
LOC105256676,prefoldin subunit 5,NA,PF02996|Prefoldin subunit,0,0
LOC105256677,uncharacterized protein LOC105256677,NA,NA,0,0
LOC105256678,autophagy-related protein 16-1 isoform X2,GO:0005515|protein binding,"PF08614|Autophagy protein 16 (ATG16); PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat",0,0
LOC105256679,mevalonate kinase,GO:0005524|ATP binding,PF00288|GHMP kinases N terminal domain,0,0
LOC105256680,mevalonate kinase isoform X1,GO:0005524|ATP binding; GO:0005534|galactose binding,PF10509|Galactokinase galactose-binding signature; PF00288|GHMP kinases N terminal domain,0,0
LOC105256681,peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2 isoform X1,GO:0005515|protein binding,PF01436|NHL repeat; PF01436|NHL repeat,0,0
LOC105256682,uncharacterized protein LOC105256682,NA,NA,1,1
LOC105256683,polypyrimidine tract-binding protein 1 isoform X7,GO:0003676|nucleic acid binding,"PF11835|RRM-like domain; PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); PF13893|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); PF13893|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",0,0
LOC105256684,NADH dehydrogenase,"GO:0016651|oxidoreductase activity, acting on NAD(P)H; GO:0022900|electron transport chain",PF04800|ETC complex I subunit conserved region,0,0
LOC105256685,sodium channel protein 60E isoform X2,GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport,"PF00520|Ion transport protein; PF00520|Ion transport protein; PF00520|Ion transport protein; PF00520|Ion transport protein; PF16905|Voltage-dependent L-type calcium channel, IQ-associated",0,14
LOC105256686,mevalonate kinase,NA,NA,1,0
LOC105256687,mevalonate kinase,GO:0005524|ATP binding,PF00288|GHMP kinases N terminal domain,0,3
LOC105256688,cytochrome P450 4C1 isoform X1,"GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding; GO:0055114|oxidation-reduction process",PF00067|Cytochrome P450,0,1
LOC105256689,translationally-controlled tumor protein homolog,NA,PF00838|Translationally controlled tumour protein,0,0
LOC105256690,ribosomal RNA-processing protein 7 homolog A,NA,PF12923|Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain; PF17799|Rrp7 RRM-like N-terminal domain,0,0
LOC105256691,uncharacterized protein C7orf26 homolog,NA,PF14964|Domain of unknown function (DUF4507),0,0
LOC105256692,retinoic acid receptor RXR isoform X4,"GO:0003700|DNA-binding transcription factor activity; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0043565|sequence-specific DNA binding","PF00105|Zinc finger, C4 type (two domains); PF00104|Ligand-binding domain of nuclear hormone receptor",0,0
LOC105256693,transmembrane protein 145,GO:0007186|G protein-coupled receptor signaling pathway; GO:0019236|response to pheromone,PF10192|Rhodopsin-like GPCR transmembrane domain,0,8
LOC105256694,FAD-linked sulfhydryl oxidase ALR,GO:0016971|flavin-linked sulfhydryl oxidase activity; GO:0055114|oxidation-reduction process,PF04777|Erv1 / Alr family,0,0
LOC105256695,sphingosine-1-phosphate phosphatase 2 isoform X1,NA,PF01569|PAP2 superfamily,0,6
LOC105256696,PIH1 domain-containing protein 1,NA,PF08190|PIH1 N-terminal domain,0,0
LOC105256697,exocyst complex component 6B,GO:0000145|exocyst; GO:0006904|vesicle docking involved in exocytosis,PF04091|Exocyst complex subunit Sec15-like,0,0
LOC105256698,CCR4-NOT transcription complex subunit 11,GO:0030014|CCR4-NOT complex,PF10155|CCR4-NOT transcription complex subunit 11,0,0
LOC105256699,neuroligin-1,NA,PF00135|Carboxylesterase family,0,1
LOC105256700,la protein homolog isoform X2,GO:0003723|RNA binding,PF08777|RNA binding motif; PF05383|La domain,0,0
LOC105256702,NA,NA,NA,NA,NA
LOC105256703,myotubularin-related protein 3 isoform X2,GO:0046872|metal ion binding,PF06602|Myotubularin-like phosphatase domain; PF01363|FYVE zinc finger,0,0
LOC105256704,protein OPI10 homolog,NA,PF05603|Protein of unknown function (DUF775),0,0
LOC105256705,uncharacterized protein LOC105256705 isoform X1,NA,PF15891|Nucleoside 2-deoxyribosyltransferase like,0,0
LOC105256706,protein I\'m not dead yet,GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport,PF00939|Sodium:sulfate symporter transmembrane region,0,12
LOC105256707,GPI transamidase component PIG-S,GO:0016255|attachment of GPI anchor to protein; GO:0042765|GPI-anchor transamidase complex,PF10510|Phosphatidylinositol-glycan biosynthesis class S protein,0,2
LOC105256708,gustatory receptor for sugar taste 43a,GO:0016021|integral component of membrane; GO:0050909|sensory perception of taste,PF08395|7tm Chemosensory receptor,0,6
LOC105256709,uncharacterized protein LOC105256709,NA,NA,0,0
LOC105256710,cathepsin O,GO:0006508|proteolysis; GO:0008234|cysteine-type peptidase activity,PF08246|Cathepsin propeptide inhibitor domain (I29); PF00112|Papain family cysteine protease,0,1
LOC105256711,"tryptophan 2,3-dioxygenase","GO:0004833|tryptophan 2,3-dioxygenase activity; GO:0019441|tryptophan catabolic process to kynurenine; GO:0020037|heme binding","PF03301|Tryptophan 2,3-dioxygenase; PF03301|Tryptophan 2,3-dioxygenase",0,0
LOC105256712,uncharacterized protein LOC105256712 isoform X1,GO:0005524|ATP binding; GO:0016021|integral component of membrane; GO:0016887|ATPase activity; GO:0042626|ATPase-coupled transmembrane transporter activity; GO:0055085|transmembrane transport,PF00005|ABC transporter; PF12698|ABC-2 family transporter protein; PF12698|ABC-2 family transporter protein; PF00005|ABC transporter,0,12
LOC105256713,esterase FE4,NA,PF00135|Carboxylesterase family,0,1
LOC105256714,multidrug resistance protein homolog 49 isoform X2,GO:0005524|ATP binding; GO:0016021|integral component of membrane; GO:0016887|ATPase activity; GO:0042626|ATPase-coupled transmembrane transporter activity; GO:0055085|transmembrane transport,PF00664|ABC transporter transmembrane region; PF00664|ABC transporter transmembrane region; PF00005|ABC transporter; PF00005|ABC transporter,0,11
LOC105256715,dipeptidase 1,GO:0006508|proteolysis; GO:0016805|dipeptidase activity,PF01244|Membrane dipeptidase (Peptidase family M19),1,0
LOC105256716,uncharacterized protein LOC105256716,GO:0042302|structural constituent of cuticle,PF00379|Insect cuticle protein,0,1
LOC105256717,cAMP-responsive element-binding protein-like 2,"GO:0003700|DNA-binding transcription factor activity; GO:0006355|regulation of transcription, DNA-templated",PF07716|Basic region leucine zipper,0,0
LOC105256718,ubinuclein-1 isoform X2,GO:0005634|nucleus; GO:0006325|chromatin organization,PF14075|Ubinuclein conserved middle domain; PF08729|HPC2 and ubinuclein domain,0,0
LOC105256719,uncharacterized protein LOC105256719,NA,PF17283|SprT-like zinc ribbon domain; PF10263|SprT-like family; PF00505|HMG (high mobility group) box,0,0
LOC105256720,calmodulin isoform X3,GO:0005509|calcium ion binding,PF13499|EF-hand domain pair; PF13499|EF-hand domain pair,0,0
LOC105256721,uncharacterized protein LOC105256721,NA,PF00266|Aminotransferase class-V; PF01171|PP-loop family,0,0
LOC105256722,uncharacterized protein LOC105256722 isoform X2,GO:0003677|DNA binding,PF02944|BESS motif; PF10545|Alcohol dehydrogenase transcription factor Myb/SANT-like,0,0
LOC105256723,uncharacterized protein LOC105256723,NA,NA,3,0
LOC105256724,RIB43A-like with coiled-coils protein 2,NA,PF05914|RIB43A,0,0
LOC105256725,myelin P2 protein isoform X1,GO:0008289|lipid binding,PF00061|Lipocalin / cytosolic fatty-acid binding protein family,0,0
LOC105256727,cell cycle checkpoint protein RAD1-like,GO:0000077|DNA damage checkpoint; GO:0005634|nucleus,PF02144|Repair protein Rad1/Rec1/Rad17,0,0
LOC105256728,NA,NA,NA,NA,NA
LOC105256729,Krueppel-like factor 3,GO:0003676|nucleic acid binding,"PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type",0,0
LOC105256730,protein suppressor of forked,GO:0005634|nucleus; GO:0006397|mRNA processing,PF05843|Suppressor of forked protein (Suf),0,0
LOC105256731,NA,NA,NA,NA,NA
LOC105256732,scavenger receptor class B member 1,GO:0016020|membrane,PF01130|CD36 family,0,3
LOC105256733,serine/threonine-protein kinase pelle,GO:0004672|protein kinase activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0007165|signal transduction,PF00069|Protein kinase domain; PF00531|Death domain,0,0
LOC105256734,cuticle protein 18.7,NA,NA,3,0
LOC105256735,protein-S-isoprenylcysteine O-methyltransferase isoform X2,GO:0004671|protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity; GO:0006481|C-terminal protein methylation; GO:0016021|integral component of membrane,PF04140|Isoprenylcysteine carboxyl methyltransferase (ICMT) family,0,6
LOC105256736,basement membrane-specific heparan sulfate proteoglycan core protein isoform X25,GO:0005515|protein binding,PF07679|Immunoglobulin I-set domain; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF13895|Immunoglobulin domain; PF00052|Laminin B (Domain IV); PF00052|Laminin B (Domain IV); PF00052|Laminin B (Domain IV); PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF13927|Immunoglobulin domain; PF00053|Laminin EGF domain; PF00053|Laminin EGF domain; PF00053|Laminin EGF domain; PF00053|Laminin EGF domain; PF00053|Laminin EGF domain; PF00053|Laminin EGF domain; PF02210|Laminin G domain; PF02210|Laminin G domain; PF02210|Laminin G domain; PF00047|Immunoglobulin domain; PF00047|Immunoglobulin domain; PF00008|EGF-like domain,3,0
LOC105256737,pupal cuticle protein,NA,NA,2,0
LOC105256738,"UPF0160 protein MYG1, mitochondrial isoform X1",NA,PF03690|Uncharacterised protein family (UPF0160),0,0
LOC105256740,uncharacterized protein YJR142W,GO:0016787|hydrolase activity,PF00293|NUDIX domain; PF15916|Domain of unknown function (DUF4743),0,0
LOC105256741,probable rRNA-processing protein EBP2 homolog,NA,PF05890|Eukaryotic rRNA processing protein EBP2,0,0
LOC105256742,uncharacterized protein LOC105256742,NA,NA,1,1
LOC105256743,uncharacterized protein LOC105256743 isoform X2,NA,NA,1,0
LOC105256744,GATA zinc finger domain-containing protein 16,NA,NA,3,0
LOC105256745,"cAMP-specific 3\',5\'-cyclic phosphodiesterase isoform X6","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction",PF18100|Phosphodiesterase 4 upstream conserved regions (UCR); PF00233|3'5'-cyclic nucleotide phosphodiesterase,0,0
LOC105256747,sodium-coupled monocarboxylate transporter 1,GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport,PF00474|Sodium:solute symporter family,0,13
LOC105256748,CCR4-NOT transcription complex subunit 9,GO:0006402|mRNA catabolic process; GO:0030014|CCR4-NOT complex,"PF04078|Cell differentiation family, Rcd1-like",0,0
LOC105256749,uncharacterized protein LOC105256749,GO:0080019|fatty-acyl-CoA reductase (alcohol-forming) activity,PF07993|Male sterility protein; PF07993|Male sterility protein; PF03015|Male sterility protein; PF03015|Male sterility protein,0,4
LOC105256752,neuropeptide CCHamide-2 receptor,GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane,PF00001|7 transmembrane receptor (rhodopsin family),0,7
LOC105256753,uncharacterized protein LOC105256753 isoform X1,NA,NA,0,0
LOC105256754,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase isoform X1","GO:0003873|6-phosphofructo-2-kinase activity; GO:0005524|ATP binding; GO:0006000|fructose metabolic process; GO:0006003|fructose 2,6-bisphosphate metabolic process",PF01591|6-phosphofructo-2-kinase; PF00300|Histidine phosphatase superfamily (branch 1),0,0
LOC105256755,transmembrane protein 147,NA,PF09767|Predicted membrane protein (DUF2053),0,5
LOC105256756,NA,NA,NA,NA,NA
LOC105256757,mitochondrial pyruvate carrier 1,GO:0005743|mitochondrial inner membrane; GO:0006850|mitochondrial pyruvate transmembrane transport,PF03650|Mitochondrial pyruvate carriers,0,0
LOC105256758,gastrula zinc finger protein XlCGF7.1,GO:0003676|nucleic acid binding,"PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF12874|Zinc-finger of C2H2 type",0,0
LOC105256759,antitrypsin-like,GO:0005615|extracellular space,PF00079|Serpin (serine protease inhibitor),1,0
LOC105256760,lanC-like protein 3 homolog,NA,PF05147|Lanthionine synthetase C-like protein,0,0
LOC105256762,NA,NA,NA,NA,NA
LOC105256765,larval cuticle protein A2B,GO:0042302|structural constituent of cuticle,PF00379|Insect cuticle protein,1,0
LOC105256766,carbonic anhydrase-related protein 10 isoform X1,GO:0004089|carbonate dehydratase activity; GO:0008270|zinc ion binding,PF00194|Eukaryotic-type carbonic anhydrase,2,0
LOC105256767,uncharacterized protein LOC105256767,GO:0003676|nucleic acid binding,"PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type",0,0
LOC105256769,sensory neuron membrane protein 1 isoform X1,GO:0016020|membrane,PF01130|CD36 family,0,3
LOC105256770,"longitudinals lacking protein, isoforms H/M/V isoform X1",GO:0005515|protein binding,PF09237|GAGA factor; PF00651|BTB/POZ domain,0,0
LOC105256771,protein arginine N-methyltransferase 5,GO:0008168|methyltransferase activity; GO:0035246|peptidyl-arginine N-methylation,PF17286|PRMT5 oligomerisation domain; PF17285|PRMT5 TIM barrel domain; PF05185|PRMT5 arginine-N-methyltransferase,0,0
LOC105256772,"glycine cleavage system H protein, mitochondrial",GO:0005960|glycine cleavage complex; GO:0019464|glycine decarboxylation via glycine cleavage system,PF01597|Glycine cleavage H-protein,0,0
LOC105256773,proteasomal ubiquitin receptor ADRM1 homolog isoform X2,GO:0005634|nucleus; GO:0005737|cytoplasm,PF04683|Proteasome complex subunit Rpn13 ubiquitin receptor; PF16550|UCH-binding domain,0,0
LOC105256774,protein argonaute-2 isoform X1,GO:0003676|nucleic acid binding; GO:0005515|protein binding,PF02171|Piwi domain; PF02170|PAZ domain; PF16486|N-terminal domain of argonaute; PF08699|Argonaute linker 1 domain; PF16487|Mid domain of argonaute; PF16488|Argonaute linker 2 domain,0,0
LOC105256775,uncharacterized protein LOC105256775,NA,PF10780|39S ribosomal protein L53/MRP-L53,0,0
LOC105256776,ribosomal oxygenase 1,NA,PF08007|Cupin superfamily protein,0,0
LOC105256777,multiple coagulation factor deficiency protein 2 homolog,NA,NA,1,0
LOC105256778,homeobox protein prophet of Pit-1,GO:0003677|DNA binding,PF00046|Homeodomain,0,0
LOC105256779,breast cancer metastasis-suppressor 1-like protein,NA,PF08598|Sds3-like,0,0
LOC105256780,neuroglobin,GO:0020037|heme binding,PF00042|Globin,0,0
LOC105256781,uncharacterized protein LOC105256781 isoform X2,GO:0005515|protein binding,PF00536|SAM domain (Sterile alpha motif),0,0
LOC105256783,MD-2-related lipid-recognition protein,NA,PF02221|ML domain,1,0
LOC105256784,echinoderm microtubule-associated protein-like 2 isoform X2,GO:0005515|protein binding,"PF03451|HELP motif; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat",0,0
LOC105256785,NA,NA,NA,NA,NA
LOC105256786,protein TIS11,GO:0046872|metal ion binding,PF00642|Zinc finger C-x8-C-x5-C-x3-H type (and similar); PF00642|Zinc finger C-x8-C-x5-C-x3-H type (and similar),1,0
LOC105256787,probable methylmalonate-semialdehyde dehydrogenase,GO:0004491|methylmalonate-semialdehyde dehydrogenase (acylating) activity; GO:0055114|oxidation-reduction process,PF00171|Aldehyde dehydrogenase family,0,0
LOC105256788,uncharacterized protein LOC105256788,NA,NA,0,2
LOC105256789,"pyruvate carboxylase, mitochondrial isoform X2",GO:0003824|catalytic activity; GO:0005524|ATP binding,"PF00364|Biotin-requiring enzyme; PF02785|Biotin carboxylase C-terminal domain; PF02786|Carbamoyl-phosphate synthase L chain, ATP binding domain; PF00289|Biotin carboxylase, N-terminal domain; PF02436|Conserved carboxylase domain; PF00682|HMGL-like",0,0
LOC105256791,isochorismatase domain-containing protein 2,GO:0003824|catalytic activity,PF00857|Isochorismatase family,0,0
LOC105256792,NA,NA,NA,NA,NA
LOC105256793,protein N-terminal glutamine amidohydrolase isoform X2,GO:0008418|protein-N-terminal asparagine amidohydrolase activity; GO:0070773|protein-N-terminal glutamine amidohydrolase activity,PF00692|dUTPase; PF09764|N-terminal glutamine amidase,0,0
LOC105256794,sorting nexin-16,GO:0035091|phosphatidylinositol binding,PF00787|PX domain,0,0
LOC105256795,"b(0,+)-type amino acid transporter 1",GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport,PF13520|Amino acid permease,0,12
LOC105256796,ZZ-type zinc finger-containing protein 3,GO:0008270|zinc ion binding,"PF00569|Zinc finger, ZZ type; PF00249|Myb-like DNA-binding domain",0,0
LOC105256797,queuine tRNA-ribosyltransferase accessory subunit 2 isoform X1,"GO:0006400|tRNA modification; GO:0016763|transferase activity, transferring pentosyl groups",PF01702|Queuine tRNA-ribosyltransferase,0,0
LOC105256798,TSC22 domain family protein 1,NA,NA,0,1
LOC105256799,L-lactate dehydrogenase A-like 6A,"GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0055114|oxidation-reduction process","PF00056|lactate/malate dehydrogenase, NAD binding domain; PF02866|lactate/malate dehydrogenase, alpha/beta C-terminal domain",0,0
LOC105256800,uncharacterized protein LOC105256800,NA,NA,2,2
LOC105256801,L-lactate dehydrogenase,"GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0055114|oxidation-reduction process","PF00056|lactate/malate dehydrogenase, NAD binding domain; PF02866|lactate/malate dehydrogenase, alpha/beta C-terminal domain",0,0
LOC105256803,L-lactate dehydrogenase,"GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0055114|oxidation-reduction process","PF00056|lactate/malate dehydrogenase, NAD binding domain; PF02866|lactate/malate dehydrogenase, alpha/beta C-terminal domain",0,0
LOC105256804,bestrophin-3,NA,"PF01062|Bestrophin, RFP-TM, chloride channel",0,2
LOC105256805,nuclear hormone receptor FTZ-F1 isoform X2,"GO:0003700|DNA-binding transcription factor activity; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0043565|sequence-specific DNA binding","PF00105|Zinc finger, C4 type (two domains); PF00105|Zinc finger, C4 type (two domains); PF00104|Ligand-binding domain of nuclear hormone receptor",0,0
LOC105256806,dehydrogenase/reductase SDR family member 7-like,NA,PF00106|short chain dehydrogenase,0,1
LOC105256807,L-lactate dehydrogenase,"GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0055114|oxidation-reduction process","PF00056|lactate/malate dehydrogenase, NAD binding domain; PF02866|lactate/malate dehydrogenase, alpha/beta C-terminal domain",0,0
LOC105256808,NA,NA,NA,NA,NA
LOC105256809,protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like isoform X2,NA,PF13359|DDE superfamily endonuclease,0,0
LOC105256810,spidroin-2 isoform X2,GO:0030246|carbohydrate binding,PF00337|Galactoside-binding lectin,0,0
LOC105256811,uncharacterized protein LOC105256811 isoform X1,NA,NA,1,0
LOC105256814,lipase 3-like,GO:0006629|lipid metabolic process,PF04083|Partial alpha/beta-hydrolase lipase region,3,0
LOC105256816,fatty acid synthase-like,"GO:0009058|biosynthetic process; GO:0016788|hydrolase activity, acting on ester bonds; GO:0055114|oxidation-reduction process","PF00698|Acyl transferase domain; PF00107|Zinc-binding dehydrogenase; PF14765|Polyketide synthase dehydratase; PF00975|Thioesterase domain; PF08659|KR domain; PF02801|Beta-ketoacyl synthase, C-terminal domain; PF00109|Beta-ketoacyl synthase, N-terminal domain; PF00550|Phosphopantetheine attachment site; PF16197|Ketoacyl-synthetase C-terminal extension",0,0
LOC105256818,uncharacterized protein LOC105256818,NA,PF07841|DM4/DM12 family,1,0
LOC105256819,thyrotropin-releasing hormone-degrading ectoenzyme,GO:0008237|metallopeptidase activity; GO:0008270|zinc ion binding,PF01433|Peptidase family M1 domain; PF17900|Peptidase M1 N-terminal domain; PF11838|ERAP1-like C-terminal domain,0,1
LOC105256820,MKI67 FHA domain-interacting nucleolar phosphoprotein-like,GO:0003676|nucleic acid binding,"PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",0,0
LOC105256821,homeobox protein Hox-D3,GO:0003677|DNA binding,PF00046|Homeodomain,0,0
LOC105256822,"methionine aminopeptidase 1D, mitochondrial",NA,PF00557|Metallopeptidase family M24,0,0
LOC105256823,proteasome subunit beta type-4,GO:0004298|threonine-type endopeptidase activity; GO:0005839|proteasome core complex; GO:0051603|proteolysis involved in cellular protein catabolic process,PF00227|Proteasome subunit,0,0
LOC105256824,uncharacterized protein LOC105256824,GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane,PF02949|7tm Odorant receptor,0,6
LOC105256825,anosmin-1,GO:0005576|extracellular region; GO:0030414|peptidase inhibitor activity,PF00095|WAP-type (Whey Acidic Protein) 'four-disulfide core',1,0
LOC105256826,uncharacterized protein LOC105256826,NA,NA,0,0
LOC105256827,NA,NA,NA,NA,NA
LOC105256828,spindle and kinetochore-associated protein 1,GO:0007059|chromosome segregation; GO:0008017|microtubule binding; GO:0051301|cell division,PF07160|Spindle and kinetochore-associated protein 1,0,0
LOC105256829,probable phospholipid-transporting ATPase IF,GO:0000287|magnesium ion binding; GO:0005524|ATP binding; GO:0015914|phospholipid transport; GO:0016021|integral component of membrane; GO:0140326|ATPase-coupled intramembrane lipid transporter activity,PF16212|Phospholipid-translocating P-type ATPase C-terminal; PF00122|E1-E2 ATPase; PF16209|Phospholipid-translocating ATPase N-terminal; PF13246|Cation transport ATPase (P-type),0,8
LOC105256830,NA,NA,NA,NA,NA
LOC105256831,uncharacterized protein LOC105256831,NA,NA,0,0
LOC105256833,mitochondrial coenzyme A transporter SLC25A42,NA,PF00153|Mitochondrial carrier protein; PF00153|Mitochondrial carrier protein; PF00153|Mitochondrial carrier protein,0,2
LOC105256834,mitotic checkpoint protein BUB3,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat",0,0
LOC105256835,eukaryotic initiation factor 4A-III,GO:0003676|nucleic acid binding; GO:0005524|ATP binding,PF00271|Helicase conserved C-terminal domain; PF00270|DEAD/DEAH box helicase,0,0
LOC105256836,putative FERM domain-containing protein FRMD8P1,NA,PF00373|FERM central domain,0,0
LOC105256838,uncharacterized protein C11orf70 homolog,NA,PF14926|Domain of unknown function (DUF4498),0,0
LOC105256839,anaphase-promoting complex subunit 4,GO:0005680|anaphase-promoting complex; GO:0030071|regulation of mitotic metaphase/anaphase transition; GO:0031145|anaphase-promoting complex-dependent catabolic process,"PF12896|Anaphase-promoting complex, cyclosome, subunit 4; PF12894|Anaphase-promoting complex subunit 4 WD40 domain",0,1
LOC105256840,metastasis-associated protein MTA3 isoform X2,"GO:0003682|chromatin binding; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0043565|sequence-specific DNA binding",PF00320|GATA zinc finger; PF01448|ELM2 domain; PF01426|BAH domain; PF01426|BAH domain; PF17226|MTA R1 domain; PF00249|Myb-like DNA-binding domain,0,0
LOC105256841,uncharacterized protein LOC105256841,NA,NA,0,0
LOC105256842,uncharacterized protein LOC105256842,NA,PF05721|Phytanoyl-CoA dioxygenase (PhyH),0,0
