sc16a_gene,gene_name,GOs,pfams,signalP,TMHMM,sc16a_ccl_up_down,sc16a_ccd_up_down,ccl_ccd_up_down
Ophio5|4049,XA68_14028,"GO:0046872|metal ion binding;GO:0016813|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines",PF00491.16|Arginase,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|405,XA68_10402,,PF02594.11|DUF167,,NA,Down,Down,Up
Ophio5|4050,XA68_14029,GO:0003676|nucleic acid binding;GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation,PF00152.15|tRNA-synt_2;PF01336.20|tRNA_anti-codon,,NA,Down,Up,Up
Ophio5|4051,XA68_14030,GO:0003676|nucleic acid binding,PF00076.17|RRM_1,,NA,Up,Up,Down
Ophio5|4052,XA68_14031,GO:0003993|acid phosphatase activity,PF00328.17|His_Phos_2,,NA,Down,Down,Down
Ophio5|4053,XA68_14032,,,,NA,Down,Down,Up
Ophio5|4054,XA68_14033,,,,NA,Down,Down,Down
Ophio5|4055,XA68_14034,,,,NA,Down,Down,Up
Ophio5|4056,XA68_14035,,,,4,Up,Up,Down
Ophio5|4057,XA68_14036,GO:0015693|magnesium ion transport;GO:0016020|membrane;GO:0015095|magnesium ion transmembrane transporter activity,PF05653.9|Mg_trans_NIPA,,9,Up,Down,Down
Ophio5|4058,XA68_14037,"GO:0033178|proton-transporting two-sector ATPase complex, catalytic domain;GO:0015991|ATP hydrolysis coupled proton transport;GO:0046961|proton-transporting ATPase activity, rotational mechanism",PF01991.13|vATP-synt_E,,NA,Up,Up,Down
Ophio5|4059,XA68_14038,,,,NA,Up,Up,Down
Ophio5|406,XA68_10403,,PF10307.4|DUF2410,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|4060,XA68_14039,,,,NA,Down,Down,Down
Ophio5|4061,XA68_14040,GO:0016887|ATPase activity;GO:0005524|ATP binding,PF14510.1|ABC_trans_N;PF00005.22|ABC_tran,,1,Down,Down,=
Ophio5|4062,XA68_14041,,,,NA,Down,Down,Down
Ophio5|4063,XA68_14042,,,,NA,Up,Up,Up
Ophio5|4064,XA68_14043,,,,NA,Up,Up,Down
Ophio5|4065,XA68_14044,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Down
Ophio5|4066,XA68_14045,GO:0003824|catalytic activity;GO:0008152|metabolic process,PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00550.20|PP-binding;PF00550.20|PP-binding;PF00550.20|PP-binding;PF13193.1|AMP-binding_C,,NA,Up,Down,Down
Ophio5|4067,XA68_14046,,PF00144.19|Beta-lactamase;PF11954.3|DUF3471,,NA,Down,Down,Down
Ophio5|4068,XA68_14047,GO:0008270|zinc ion binding;GO:0007165|signal transduction,PF00620.22|RhoGAP;PF00412.17|LIM,,NA,Up,Up,Down
Ophio5|4069,XA68_14048,,,,NA,Down,Down,Up
Ophio5|407,XA68_10404,GO:0005515|protein binding,PF02020.13|W2;PF00132.19|Hexapep,,NA,Up,Up,Up
Ophio5|4070,XA68_14049,,PF13915.1|DUF4210;PF13889.1|Chromosome_seg,,NA,Up,Up,Up
Ophio5|4071,XA68_14050,,,,NA,Up,Up,Up
Ophio5|4072,XA68_14051,,,,NA,Up,Down,Down
Ophio5|4073,XA68_14052,"GO:0016773|phosphotransferase activity, alcohol group as acceptor",PF00454.22|PI3_PI4_kinase,,NA,Up,Up,Down
Ophio5|4074,XA68_14053,GO:0055085|transmembrane transport,PF06516.6|NUP,SignalP: has predicted secretion signal,1,Down,Down,Down
Ophio5|4075,XA68_14054,GO:0046872|metal ion binding;GO:0000166|nucleotide binding,PF00122.15|E1-E2_ATPase;PF00689.16|Cation_ATPase_C;PF00702.21|Hydrolase;PF13246.1|Hydrolase_like2;PF12710.2|HAD;PF00690.21|Cation_ATPase_N;PF08282.7|Hydrolase_3,,8,Down,Down,Up
Ophio5|4076,XA68_14055,"GO:0016887|ATPase activity;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;GO:0006810|transport",PF00664.18|ABC_membrane;PF00664.18|ABC_membrane;PF00005.22|ABC_tran;PF00005.22|ABC_tran,,9,Down,Down,Down
Ophio5|4077,XA68_14056,GO:0004601|peroxidase activity;GO:0006979|response to oxidative stress;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,PF00141.18|peroxidase,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|4078,XA68_14057,GO:0016787|hydrolase activity,PF13147.1|Amidohydro_4;PF13147.1|Amidohydro_4;PF01979.15|Amidohydro_1;PF01979.15|Amidohydro_1;PF13594.1|Amidohydro_5,SignalP: has predicted secretion signal,NA,Up,Up,Up
Ophio5|4079,XA68_14058,,,,NA,Down,Down,Down
Ophio5|408,XA68_10405,,,,NA,Up,Down,Down
Ophio5|4080,XA68_14059,"GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups",PF02458.10|Transferase,,NA,Up,Up,Down
Ophio5|4081,XA68_14060,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process,PF02668.11|TauD,,NA,Down,Down,Up
Ophio5|4082,XA68_14061,,PF03959.8|FSH1,,NA,Down,Down,Down
Ophio5|4083,XA68_14062,GO:0016491|oxidoreductase activity;GO:0008270|zinc ion binding;GO:0055114|oxidation-reduction process;GO:0008168|methyltransferase activity;GO:0008152|metabolic process,PF00109.21|ketoacyl-synt;PF08659.5|KR;PF00698.16|Acyl_transf_1;PF00106.20|adh_short;PF14765.1|PS-DH;PF02801.17|Ketoacyl-synt_C;PF00107.21|ADH_zinc_N;PF08242.7|Methyltransf_12;PF13489.1|Methyltransf_23;PF08241.7|Methyltransf_11;PF13847.1|Methyltransf_31;PF13602.1|ADH_zinc_N_2;PF08240.7|ADH_N;PF12847.2|Methyltransf_18;PF01209.13|Ubie_methyltran;PF00550.20|PP-binding,,NA,Down,Down,Up
Ophio5|4084,XA68_14063,"GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding",PF00067.17|p450,,1,Down,Down,Down
Ophio5|4085,XA68_14064,,PF12340.3|DUF3638;PF12359.3|DUF3645,,NA,Down,Down,Up
Ophio5|4086,XA68_14065,,PF00561.15|Abhydrolase_1;PF08386.5|Abhydrolase_4;PF12697.2|Abhydrolase_6,,NA,Down,Down,Down
Ophio5|4087,XA68_14066,,,,5,Up,Down,Down
Ophio5|4088,XA68_14067,GO:0006508|proteolysis;GO:0004222|metalloendopeptidase activity,PF01431.16|Peptidase_M13;PF05649.8|Peptidase_M13_N,,NA,Down,Down,Down
Ophio5|4089,XA68_14068,,,,NA,Down,Down,Up
Ophio5|409,XA68_10406,"GO:0005634|nucleus;GO:0006355|regulation of transcription, DNA-templated;GO:0000160|phosphorelay signal transduction system;GO:0043565|sequence-specific DNA binding;GO:0000156|phosphorelay response regulator activity;GO:0003700|sequence-specific DNA binding transcription factor activity",PF00447.12|HSF_DNA-bind;PF00072.19|Response_reg,,NA,Up,Up,Down
Ophio5|4090,XA68_14069,GO:0005576|extracellular region;GO:0009405|pathogenesis;GO:0003824|catalytic activity,PF01375.12|Enterotoxin_a,SignalP: has predicted secretion signal,NA,Down,Down,Down
Ophio5|4091,XA68_14070,GO:0022857|transmembrane transporter activity;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,PF00083.19|Sugar_tr;PF07690.11|MFS_1;PF03092.11|BT1,,12,Up,Up,Down
Ophio5|4092,XA68_14071,"GO:0004499|N,N-dimethylaniline monooxygenase activity;GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0050661|NADP binding;GO:0050660|flavin adenine dinucleotide binding",PF13738.1|Pyr_redox_3;PF00743.14|FMO-like;PF13450.1|NAD_binding_8;PF13434.1|K_oxygenase;PF07992.9|Pyr_redox_2,,NA,Up,Up,Down
Ophio5|4093,XA68_14072,GO:0016851|magnesium chelatase activity;GO:0006260|DNA replication;GO:0005524|ATP binding;GO:0015995|chlorophyll biosynthetic process;GO:0015979|photosynthesis;GO:0003677|DNA binding,PF00493.18|MCM;PF14551.1|MCM_N;PF01078.16|Mg_chelatase,,NA,Up,Up,Down
Ophio5|4094,XA68_14073,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular,PF01015.13|Ribosomal_S3Ae,,NA,Up,Up,Up
Ophio5|4095,XA68_14074,,PF01124.13|MAPEG,,2,Down,Down,Up
Ophio5|4096,XA68_14075,,,,NA,Up,Down,Down
Ophio5|4097,XA68_14076,GO:0003676|nucleic acid binding,PF00076.17|RRM_1;PF14259.1|RRM_6;PF13893.1|RRM_5,,NA,Up,Down,Down
Ophio5|4098,XA68_14077,GO:0005515|protein binding,PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF08662.6|eIF2A,,NA,Up,Up,Down
Ophio5|4099,XA68_14078,,PF10998.3|DUF2838,,7,Down,Up,Up
Ophio5|41,XA68_10035,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Down,Down,=
Ophio5|410,XA68_10407,,,,2,Up,Down,Down
Ophio5|4100,XA68_14079,GO:0003682|chromatin binding,PF00249.26|Myb_DNA-binding;PF00249.26|Myb_DNA-binding;PF13921.1|Myb_DNA-bind_6,,NA,Down,Down,Down
Ophio5|4101,XA68_14080,,,,NA,Down,Down,Down
Ophio5|4102,XA68_14081,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0008270|zinc ion binding;GO:0003677|DNA binding;GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus;GO:0006351|transcription, DNA-templated",PF00172.13|Zn_clus;PF04082.13|Fungal_trans,,NA,Down,Down,Up
Ophio5|4103,XA68_14082,,,,NA,Up,Up,Up
Ophio5|4104,XA68_14083,,,,NA,Down,Down,Down
Ophio5|4105,XA68_14084,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr,,NA,Down,Down,Up
Ophio5|4106,XA68_14085,GO:0005515|protein binding,PF00400.27|WD40;PF00400.27|WD40,,NA,Up,Up,Up
Ophio5|4107,XA68_14086,,PF07281.7|INSIG,,5,Down,Down,Up
Ophio5|4108,XA68_14087,,,,NA,Down,Down,Up
Ophio5|4109,XA68_14088,GO:0004176|ATP-dependent peptidase activity;GO:0006508|proteolysis;GO:0046872|metal ion binding,PF02190.11|LON;PF13923.1|zf-C3HC4_2;PF00097.20|zf-C3HC4,,NA,Down,Down,Up
Ophio5|411,XA68_10408,"GO:0003896|DNA primase activity;GO:0006269|DNA replication, synthesis of RNA primer",PF01896.14|DNA_primase_S,,NA,Up,Up,Down
Ophio5|4110,XA68_14089,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Down,Down,Down
Ophio5|4111,XA68_14090,,,,NA,Up,Up,Down
Ophio5|4112,XA68_14091,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Down
Ophio5|4113,XA68_14092,,PF08577.6|PI31_Prot_C;PF11566.3|PI31_Prot_N,,NA,Down,Down,Down
Ophio5|4114,XA68_14093,GO:0006886|intracellular protein transport;GO:0008536|Ran GTPase binding,PF03810.14|IBN_N,,NA,Up,Up,Down
Ophio5|4115,XA68_14094,GO:0016020|membrane;GO:0015205|nucleobase transmembrane transporter activity;GO:0015851|nucleobase transport,PF02133.10|Transp_cyt_pur,,11,Up,Up,Down
Ophio5|4116,XA68_14095,,,,1,Up,Up,Down
Ophio5|4117,XA68_14096,GO:0016020|membrane;GO:0005618|cell wall;GO:0006508|proteolysis;GO:0004252|serine-type endopeptidase activity,PF00082.17|Peptidase_S8;PF06280.7|DUF1034,SignalP: has predicted secretion signal,1,Down,Down,Up
Ophio5|4118,XA68_14097,"GO:0015078|hydrogen ion transmembrane transporter activity;GO:0033177|proton-transporting two-sector ATPase complex, proton-transporting domain;GO:0015991|ATP hydrolysis coupled proton transport",PF00137.16|ATP-synt_C;PF00137.16|ATP-synt_C,,4,Up,Up,Down
Ophio5|4119,XA68_14098,,,,NA,Up,Down,Down
Ophio5|412,XA68_10409,,PF01746.16|tRNA_m1G_MT;PF01746.16|tRNA_m1G_MT,,NA,Down,Up,Up
Ophio5|4120,XA68_14099,,PF08743.5|Nse4_C;PF15412.1|Nse4-Nse3_bdg,,NA,Up,Up,Down
Ophio5|4121,XA68_14100,,,,NA,Up,Up,Up
Ophio5|4122,XA68_14101,GO:0055114|oxidation-reduction process;GO:0016491|oxidoreductase activity;GO:0050660|flavin adenine dinucleotide binding;GO:0008762|UDP-N-acetylmuramate dehydrogenase activity,PF01565.18|FAD_binding_4,SignalP: has predicted secretion signal,NA,Up,Down,Down
Ophio5|4123,XA68_14102,"GO:0016491|oxidoreductase activity;GO:0016627|oxidoreductase activity, acting on the CH-CH group of donors;GO:0055114|oxidation-reduction process;GO:0008152|metabolic process;GO:0003995|acyl-CoA dehydrogenase activity;GO:0050660|flavin adenine dinucleotide binding",PF00441.19|Acyl-CoA_dh_1;PF02770.14|Acyl-CoA_dh_M;PF02771.11|Acyl-CoA_dh_N;PF08028.6|Acyl-CoA_dh_2,,NA,Up,Up,Up
Ophio5|4124,XA68_14103,,,,1,Down,Down,Up
Ophio5|4125,XA68_14104,,,,NA,Down,Down,Up
Ophio5|4126,XA68_14105,,PF05032.7|Spo12,,NA,Down,Up,Up
Ophio5|4127,XA68_14106,GO:0015684|ferrous iron transport;GO:0016021|integral component of membrane;GO:0005525|GTP binding;GO:0015093|ferrous iron transmembrane transporter activity,PF02824.16|TGS;PF01926.18|MMR_HSR1;PF02421.13|FeoB_N,,NA,Up,Up,Up
Ophio5|4128,XA68_14107,GO:0003676|nucleic acid binding,PF00076.17|RRM_1;PF13893.1|RRM_5,,NA,Up,Up,Down
Ophio5|4129,XA68_14108,GO:0016151|nickel cation binding;GO:0006807|nitrogen compound metabolic process,PF01730.11|UreF,,NA,Down,Down,Down
Ophio5|413,XA68_10410,,,,1,Up,Up,Down
Ophio5|4130,XA68_14109,,PF11500.3|Cut12,,NA,Up,Up,Up
Ophio5|4131,XA68_14110,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF00069.20|Pkinase;PF00069.20|Pkinase;PF12745.2|HGTP_anticodon2;PF07714.12|Pkinase_Tyr;PF07714.12|Pkinase_Tyr;PF07714.12|Pkinase_Tyr;PF13393.1|tRNA-synt_His,,NA,Down,Up,Up
Ophio5|4132,XA68_14111,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Down
Ophio5|4133,XA68_14112,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process,PF01494.14|FAD_binding_3;PF13450.1|NAD_binding_8;PF01266.19|DAO;PF07992.9|Pyr_redox_2;PF00890.19|FAD_binding_2,,NA,Up,Up,Down
Ophio5|4134,XA68_14113,"GO:0009712|catechol-containing compound metabolic process;GO:0008199|ferric iron binding;GO:0055114|oxidation-reduction process;GO:0006725|cellular aromatic compound metabolic process;GO:0018576|catechol 1,2-dioxygenase activity;GO:0005506|iron ion binding;GO:0003824|catalytic activity",PF00775.16|Dioxygenase_C;PF04444.9|Dioxygenase_N,,NA,Down,Down,Down
Ophio5|4135,XA68_14114,GO:0003824|catalytic activity;GO:0008152|metabolic process,PF02515.12|CoA_transf_3,,NA,Down,Down,Up
Ophio5|4136,XA68_14115,GO:0007165|signal transduction,PF00620.22|RhoGAP,,NA,Up,Down,Down
Ophio5|4137,XA68_14116,"GO:0016757|transferase activity, transferring glycosyl groups",PF03901.12|Glyco_transf_22,,8,Down,Down,Down
Ophio5|4138,XA68_14117,"GO:0003676|nucleic acid binding;GO:0003677|DNA binding;GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus",PF07842.7|GCFC;PF01585.18|G-patch;PF12457.3|TIP_N;PF12656.2|G-patch_2,,NA,Up,Down,Down
Ophio5|4139,XA68_14118,,,,NA,Up,Up,Down
Ophio5|414,XA68_10411,,,,2,Down,Up,Up
Ophio5|4140,XA68_14119,,,,NA,Down,Up,Up
Ophio5|4141,XA68_14120,,PF11911.3|DUF3429,,3,Down,Down,Up
Ophio5|4142,XA68_14121,,PF06650.7|DUF1162;PF12624.2|Chorein_N;PF09333.6|ATG_C,,NA,Down,Down,Up
Ophio5|4143,XA68_14122,,PF13621.1|Cupin_8,,NA,Down,Down,Up
Ophio5|4144,XA68_14123,GO:0008168|methyltransferase activity;GO:0005634|nucleus;GO:0032259|methylation;GO:0006364|rRNA processing,PF07780.7|Spb1_C;PF11861.3|DUF3381;PF01728.14|FtsJ,,NA,Down,Down,Up
Ophio5|4145,XA68_14124,GO:0005525|GTP binding;GO:0003924|GTPase activity,PF00350.18|Dynamin_N;PF01031.15|Dynamin_M,,NA,Down,Down,Down
Ophio5|4146,XA68_14125,,PF05890.7|Ebp2,,NA,Up,Up,Up
Ophio5|4147,XA68_14126,GO:0008324|cation transmembrane transporter activity;GO:0006812|cation transport;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,PF01545.16|Cation_efflux,,4,Up,Down,Down
Ophio5|4148,XA68_14127,,,,2,Down,Down,Down
Ophio5|4149,XA68_14128,GO:0016881|acid-amino acid ligase activity,PF00179.21|UQ_con,,NA,Down,Up,Up
Ophio5|415,XA68_10412,GO:0006298|mismatch repair;GO:0005524|ATP binding;GO:0030983|mismatched DNA binding,PF00488.16|MutS_V;PF05192.13|MutS_III;PF05188.12|MutS_II;PF01624.15|MutS_I;PF05190.13|MutS_IV,,NA,Up,Up,Down
Ophio5|4150,XA68_14129,,,,NA,Down,Down,Down
Ophio5|4151,XA68_14130,,PF04182.7|B-block_TFIIIC,,NA,Down,Down,Down
Ophio5|4152,XA68_14131,,PF12697.2|Abhydrolase_6;PF00561.15|Abhydrolase_1;PF12695.2|Abhydrolase_5;PF06500.6|DUF1100,,NA,Up,Up,Down
Ophio5|4153,XA68_14132,GO:0004379|glycylpeptide N-tetradecanoyltransferase activity,PF02799.10|NMT_C;PF01233.14|NMT,,NA,Down,Down,Up
Ophio5|4154,XA68_14133,GO:0016787|hydrolase activity;GO:0008152|metabolic process,PF12695.2|Abhydrolase_5;PF12697.2|Abhydrolase_6;PF00561.15|Abhydrolase_1;PF07859.8|Abhydrolase_3,,1,Down,Down,Down
Ophio5|4155,XA68_14134,,,,NA,Up,Down,Down
Ophio5|4156,XA68_14135,,,SignalP: has predicted secretion signal,NA,Down,Down,Down
Ophio5|4157,XA68_14136,,,,NA,Down,Down,=
Ophio5|4158,XA68_14137,,PF07534.11|TLD,,NA,Down,Down,Up
Ophio5|4159,XA68_14138,,PF04588.8|HIG_1_N,,2,Down,Up,Up
Ophio5|416,XA68_10413,GO:0030001|metal ion transport;GO:0046873|metal ion transmembrane transporter activity;GO:0016020|membrane;GO:0055085|transmembrane transport,PF02535.17|Zip;PF02535.17|Zip,SignalP: has predicted secretion signal,8,Down,Down,Down
Ophio5|4160,XA68_14139,GO:0008270|zinc ion binding;GO:0005509|calcium ion binding,PF00569.12|ZZ;PF13405.1|EF-hand_6;PF13405.1|EF-hand_6;PF13499.1|EF-hand_7;PF13202.1|EF-hand_5,,1,Down,Up,Up
Ophio5|4161,XA68_14140,,PF01988.14|VIT1,,4,Up,Up,Up
Ophio5|4162,XA68_14141,,PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5,,NA,Up,Up,Up
Ophio5|4163,XA68_14142,GO:0043565|sequence-specific DNA binding,PF01997.11|Translin,,NA,Down,Down,Up
Ophio5|4164,XA68_14143,GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr;PF14531.1|Kinase-like,,NA,Up,Up,Down
Ophio5|4165,XA68_14144,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding;GO:0016787|hydrolase activity;GO:0003677|DNA binding,PF00176.18|SNF2_N;PF00271.26|Helicase_C;PF04851.10|ResIII;PF00270.24|DEAD,,NA,Up,Up,Down
Ophio5|4166,XA68_14145,GO:0008137|NADH dehydrogenase (ubiquinone) activity;GO:0003954|NADH dehydrogenase activity;GO:0005739|mitochondrion,PF05821.6|NDUF_B8,,1,Up,Up,Up
Ophio5|4167,XA68_14146,,,,NA,Up,Down,Down
Ophio5|4168,XA68_14147,,,,7,Up,Up,Down
Ophio5|4169,XA68_14148,,,,3,Up,Up,Down
Ophio5|417,XA68_10414,,,,NA,Down,Down,Down
Ophio5|4170,XA68_14149,GO:0007165|signal transduction,PF00620.22|RhoGAP,,NA,Up,Up,Down
Ophio5|4171,XA68_14150,GO:0004521|endoribonuclease activity;GO:0003723|RNA binding,PF00545.15|Ribonuclease,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Down
Ophio5|4172,XA68_14151,"GO:0016820|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances;GO:0015992|proton transport;GO:0015991|ATP hydrolysis coupled proton transport;GO:0033178|proton-transporting two-sector ATPase complex, catalytic domain;GO:0046034|ATP metabolic process;GO:0005524|ATP binding",PF00006.20|ATP-synt_ab;PF00306.22|ATP-synt_ab_C;PF02874.18|ATP-synt_ab_N,,NA,Up,Up,Up
Ophio5|4173,XA68_14152,GO:0016787|hydrolase activity,PF00149.23|Metallophos,,NA,Up,Up,Down
Ophio5|4174,XA68_14153,,PF08634.5|Pet127,,NA,Up,Up,Down
Ophio5|4175,XA68_14154,,PF12722.2|Hid1;PF12722.2|Hid1;PF09742.4|Dymeclin;PF09742.4|Dymeclin,,NA,Up,Up,Down
Ophio5|4176,XA68_14155,GO:0015031|protein transport;GO:0006904|vesicle docking involved in exocytosis;GO:0000145|exocyst,PF04048.9|Sec8_exocyst;PF10475.4|DUF2450,,NA,Down,Down,Up
Ophio5|4177,XA68_14156,"GO:0055114|oxidation-reduction process;GO:0016620|oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",PF02800.15|Gp_dh_C;PF00044.19|Gp_dh_N,,NA,Down,Down,Up
Ophio5|4178,XA68_14157,GO:0008033|tRNA processing;GO:0004826|phenylalanine-tRNA ligase activity;GO:0000049|tRNA binding;GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0043039|tRNA aminoacylation;GO:0005737|cytoplasm;GO:0006432|phenylalanyl-tRNA aminoacylation;GO:0000287|magnesium ion binding,PF01409.15|tRNA-synt_2d;PF01409.15|tRNA-synt_2d;PF03147.9|FDX-ACB,,NA,Up,Up,Up
Ophio5|4179,XA68_14158,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0006355|regulation of transcription, DNA-templated;GO:0003677|DNA binding;GO:0005634|nucleus;GO:0008270|zinc ion binding;GO:0006351|transcription, DNA-templated",PF04082.13|Fungal_trans;PF00172.13|Zn_clus,,NA,Up,Down,Down
Ophio5|418,XA68_10415,GO:0008017|microtubule binding;GO:0005524|ATP binding;GO:0003777|microtubule motor activity;GO:0007018|microtubule-based movement,PF00225.18|Kinesin,,NA,Down,Up,Up
Ophio5|4180,XA68_14159,,,,NA,Down,Down,Up
Ophio5|4181,XA68_14160,,,,NA,Down,Down,Up
Ophio5|4182,XA68_14161,,,,1,Up,Down,Down
Ophio5|4183,XA68_14162,GO:0003676|nucleic acid binding,PF03467.10|Smg4_UPF3;PF14259.1|RRM_6;PF00076.17|RRM_1,,NA,Down,Down,Up
Ophio5|4184,XA68_14163,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,PF00106.20|adh_short;PF13561.1|adh_short_C2;PF08659.5|KR,,2,Up,Up,Down
Ophio5|4185,XA68_14164,,PF06413.6|Neugrin,,NA,Down,Down,Up
Ophio5|4186,XA68_14165,GO:0006508|proteolysis;GO:0004185|serine-type carboxypeptidase activity,PF00450.17|Peptidase_S10,SignalP: has predicted secretion signal,NA,Down,Up,Up
Ophio5|4187,XA68_14166,GO:0019722|calcium-mediated signaling,PF04847.7|Calcipressin,,NA,Up,Up,Down
Ophio5|4188,XA68_14167,,PF11327.3|DUF3129,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,=,=,=
Ophio5|4189,XA68_14168,,PF04982.8|HPP,,4,=,=,=
Ophio5|419,XA68_10416,,PF01987.12|AIM24,,NA,Down,Up,Up
Ophio5|4190,XA68_14169,GO:0016491|oxidoreductase activity;GO:0030151|molybdenum ion binding;GO:0055114|oxidation-reduction process;GO:0009055|electron carrier activity;GO:0020037|heme binding,PF03404.11|Mo-co_dimer;PF00174.14|Oxidored_molyb;PF00970.19|FAD_binding_6;PF00175.16|NAD_binding_1;PF00173.23|Cyt-b5,,NA,Up,=,Down
Ophio5|4191,XA68_14170,GO:0004517|nitric-oxide synthase activity;GO:0006809|nitric oxide biosynthetic process;GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0010181|FMN binding,PF02898.10|NO_synthase;PF00258.20|Flavodoxin_1,,NA,Up,Down,Down
Ophio5|4192,XA68_14171,GO:0055114|oxidation-reduction process;GO:0004517|nitric-oxide synthase activity;GO:0006809|nitric oxide biosynthetic process,PF02898.10|NO_synthase,,NA,=,=,=
Ophio5|4193,XA68_14172,,,SignalP: has predicted secretion signal; SSP: small secreted protein,NA,Up,Up,Down
Ophio5|4194,XA68_14173,GO:0016491|oxidoreductase activity;GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,PF00042.17|Globin;PF00175.16|NAD_binding_1;PF00970.19|FAD_binding_6,,NA,Up,Up,Down
Ophio5|4195,XA68_14174,,,,2,Down,Down,Down
Ophio5|4196,XA68_14175,,,SignalP: has predicted secretion signal,NA,Down,Down,=
Ophio5|4197,XA68_14176,,,SignalP: has predicted secretion signal,NA,Down,Down,Up
Ophio5|4198,XA68_14177,,PF03198.9|Glyco_hydro_72,SignalP: has predicted secretion signal,NA,Down,Down,Up
Ophio5|4199,XA68_14178,GO:0042162|telomeric DNA binding;GO:0042803|protein homodimerization activity;GO:0003682|chromatin binding,PF08558.5|TRF;PF00249.26|Myb_DNA-binding,,NA,Up,Up,Down
Ophio5|42,XA68_10036,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,PF00264.15|Tyrosinase,,NA,Down,Down,Up
Ophio5|420,XA68_10417,GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0022857|transmembrane transporter activity,PF07690.11|MFS_1;PF07690.11|MFS_1;PF00083.19|Sugar_tr,,12,Up,Down,Down
Ophio5|4200,XA68_14179,,,,4,Down,Up,Up
Ophio5|4201,XA68_14180,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding;GO:0016787|hydrolase activity;GO:0003677|DNA binding,PF00270.24|DEAD;PF00270.24|DEAD;PF00271.26|Helicase_C;PF04851.10|ResIII,,NA,Up,Up,Up
Ophio5|4202,XA68_14181,GO:0009058|biosynthetic process;GO:0006506|GPI anchor biosynthetic process,PF08288.7|PIGA;PF00534.15|Glycos_transf_1;PF13439.1|Glyco_transf_4;PF13692.1|Glyco_trans_1_4;PF13579.1|Glyco_trans_4_4;PF13477.1|Glyco_trans_4_2,,1,Up,Up,Up
Ophio5|4203,XA68_14182,GO:0005515|protein binding,PF00439.20|Bromodomain,,NA,Down,Down,Down
Ophio5|4204,XA68_14183,,,,NA,Up,Up,Up
