arb2_gene,gene_name,blast_annot,GOs,pfams,signalP,SSP,TMHMM,sc16a_homolog
Ophcf2|02621,GQ602_002621,"NADH-ubiquinone oxidoreductase 23 kDa subunit, mitochondrial",NA,PF12800|Fer4_4; PF13237|Fer4_10; PF12838|Fer4_7; PF00037|Fer4; PF13187|Fer4_9;,NA,NA,NA,Ophio5|1365
Ophcf2|02622,GQ602_002622,acyl carrier protein,NA,PF00550|PP-binding;,NA,NA,NA,Ophio5|1366
Ophcf2|02623,GQ602_002623,"Zinc finger, CCCH-type",GO:0005488|binding; GO:0046872|metal ion binding; GO:0003674|molecular_function; GO:0043167|ion binding; GO:0043169|cation binding;,PF00642|zf-CCCH;,NA,NA,NA,Ophio5|1367
Ophcf2|02624,GQ602_002624,---NA---,NA,NA,Has signal peptide;,Small secreted protein;,NA,NA
Ophcf2|02625,GQ602_002625,DEAD-2 domain-containing protein,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0004003|ATP-dependent DNA helicase activity; GO:0140097|catalytic activity, acting on DNA; GO:0042623|ATPase activity, coupled; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0016887|ATPase activity; GO:0008144|drug binding; GO:0070035|purine NTP-dependent helicase activity; GO:0005488|binding; GO:0016787|hydrolase activity; GO:0006807|nitrogen compound metabolic process; GO:0044237|cellular metabolic process; GO:0016462|pyrophosphatase activity; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0043168|anion binding; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003678|DNA helicase activity; GO:0003824|catalytic activity; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0017111|nucleoside-triphosphatase activity; GO:0017076|purine nucleotide binding; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:0004386|helicase activity; GO:0044238|primary metabolic process; GO:0008026|ATP-dependent helicase activity; GO:0034641|cellular nitrogen compound metabolic process; GO:1901265|nucleoside phosphate binding; GO:0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0008094|DNA-dependent ATPase activity; GO:0036094|small molecule binding; GO:1901360|organic cyclic compound metabolic process; GO:0008152|metabolic process; GO:0016817|hydrolase activity, acting on acid anhydrides; GO:0030554|adenyl nucleotide binding;",PF13307|Helicase_C_2; PF06733|DEAD_2;,NA,NA,NA,Ophio5|1368
Ophcf2|02626,GQ602_002626,60S ribosomal protein L27a,NA,PF00828|Ribosomal_L27A;,NA,NA,NA,Ophio5|1369
Ophcf2|02627,GQ602_002627,serine/threonine protein kinase Hsk1,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0006464|cellular protein modification process; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0016772|transferase activity, transferring phosphorus-containing groups; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0016301|kinase activity; GO:0006468|protein phosphorylation; GO:0008144|drug binding; GO:0044267|cellular protein metabolic process; GO:0043412|macromolecule modification; GO:0140096|catalytic activity, acting on a protein; GO:0005488|binding; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003824|catalytic activity; GO:0006796|phosphate-containing compound metabolic process; GO:0017076|purine nucleotide binding; GO:0019538|protein metabolic process; GO:0005524|ATP binding; GO:0032559|adenyl ribonucleotide binding; GO:0004672|protein kinase activity; GO:0044238|primary metabolic process; GO:0036211|protein modification process; GO:1901265|nucleoside phosphate binding; GO:0006793|phosphorus metabolic process; GO:0016740|transferase activity; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0016310|phosphorylation; GO:1901564|organonitrogen compound metabolic process; GO:0016773|phosphotransferase activity, alcohol group as acceptor; GO:0008152|metabolic process; GO:0030554|adenyl nucleotide binding;",PF07714|Pkinase_Tyr; PF00069|Pkinase;,NA,NA,NA,Ophio5|1370
Ophcf2|02628,GQ602_002628,Condensin complex subunit 1,NA,PF12922|Cnd1_N; PF12717|Cnd1;,NA,NA,NA,Ophio5|1371
Ophcf2|02629,GQ602_002629,RNA polymerase II CTD phosphatase Fcp1,NA,PF00533|BRCT; PF03031|NIF; PF12738|PTCB-BRCT;,NA,NA,NA,Ophio5|1372
Ophcf2|02630,GQ602_002630,nadh dehydrogenase,NA,PF06212|GRIM-19;,NA,NA,1;,NA
Ophcf2|02631,GQ602_002631,autophagy-related protein 26,"GO:0003824|catalytic activity; GO:0070085|glycosylation; GO:0044237|cellular metabolic process; GO:0030259|lipid glycosylation; GO:0016740|transferase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0016757|transferase activity, transferring glycosyl groups; GO:0030258|lipid modification; GO:0044255|cellular lipid metabolic process; GO:0005975|carbohydrate metabolic process; GO:0071704|organic substance metabolic process; GO:0006629|lipid metabolic process; GO:0044238|primary metabolic process; GO:0009987|cellular process; GO:0008152|metabolic process; GO:0016758|transferase activity, transferring hexosyl groups;",PF03033|Glyco_transf_28; PF02893|GRAM; PF00169|PH;,NA,NA,NA,Ophio5|3366
Ophcf2|02632,GQ602_002632,WD repeat containing protein,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF00400|WD40;,NA,NA,NA,Ophio5|3364
Ophcf2|02633,GQ602_002633,hypothetical protein CDD80_6991,NA,NA,NA,NA,NA,Ophio5|3363
Ophcf2|02634,GQ602_002634,probable isoamyl alcohol oxidase,GO:0003824|catalytic activity; GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0055114|oxidation-reduction process; GO:0016491|oxidoreductase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0008152|metabolic process; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding;,PF08031|BBE; PF01565|FAD_binding_4;,Has signal peptide;,NA,3;,Ophio5|1641
Ophcf2|02635,GQ602_002635,hypothetical protein CDD80_6988,NA,NA,NA,NA,NA,NA
Ophcf2|02636,GQ602_002636,Transcription initiation factor TFIID subunit 2,NA,NA,NA,NA,NA,Ophio5|3360
Ophcf2|02637,GQ602_002637,Transcriptional regulatory protein SIN3,"GO:0009889|regulation of biosynthetic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0051252|regulation of RNA metabolic process; GO:0080090|regulation of primary metabolic process; GO:0065007|biological regulation; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:1903506|regulation of nucleic acid-templated transcription; GO:0008150|biological_process; GO:0031323|regulation of cellular metabolic process; GO:0010468|regulation of gene expression; GO:0019222|regulation of metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006355|regulation of transcription, DNA-templated; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0050789|regulation of biological process; GO:0031326|regulation of cellular biosynthetic process; GO:0060255|regulation of macromolecule metabolic process; GO:0051171|regulation of nitrogen compound metabolic process;",PF08295|Sin3_corepress; PF02671|PAH; PF16879|Sin3a_C;,NA,NA,NA,Ophio5|3359
Ophcf2|02638,GQ602_002638,Acetyl-CoA acetyltransferase,"GO:0003824|catalytic activity; GO:0016740|transferase activity; GO:0003674|molecular_function; GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups; GO:0016746|transferase activity, transferring acyl groups;",PF00108|Thiolase_N; PF00109|ketoacyl-synt; PF02803|Thiolase_C;,NA,NA,NA,Ophio5|7415
Ophcf2|02639,GQ602_002639,hypothetical protein CDD80_4013,NA,NA,NA,NA,NA,Ophio5|7417
Ophcf2|02640,GQ602_002640,polyketide synthase,"GO:0003824|catalytic activity; GO:0016741|transferase activity, transferring one-carbon groups; GO:0008168|methyltransferase activity; GO:0055114|oxidation-reduction process; GO:0016740|transferase activity; GO:0003674|molecular_function; GO:0008150|biological_process; GO:0008152|metabolic process;",PF08242|Methyltransf_12; PF14765|PS-DH; PF00106|adh_short; PF13649|Methyltransf_25; PF13602|ADH_zinc_N_2; PF16197|KAsynt_C_assoc; PF00109|ketoacyl-synt; PF08659|KR; PF13489|Methyltransf_23; PF08241|Methyltransf_11; PF13561|adh_short_C2; PF08240|ADH_N; PF02801|Ketoacyl-synt_C; PF00107|ADH_zinc_N; PF00550|PP-binding; PF00698|Acyl_transf_1;,NA,NA,NA,Ophio5|1451
Ophcf2|02641,GQ602_002641,cdc1-like protein,GO:0003824|catalytic activity; GO:0003674|molecular_function; GO:0016787|hydrolase activity;,PF00149|Metallophos;,NA,NA,2;,Ophio5|1262
Ophcf2|02642,GQ602_002642,hypothetical protein CDD80_4981,NA,NA,NA,NA,NA,Ophio5|1964
Ophcf2|02643,GQ602_002643,---NA---,NA,NA,NA,NA,NA,NA
Ophcf2|02644,GQ602_002644,related to DNA repair exonuclease rad1,GO:0006950|response to stress; GO:0005575|cellular_component; GO:0045786|negative regulation of cell cycle; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0043229|intracellular organelle; GO:0031570|DNA integrity checkpoint; GO:0006974|cellular response to DNA damage stimulus; GO:0050789|regulation of biological process; GO:0000077|DNA damage checkpoint; GO:0044464|cell part; GO:0033554|cellular response to stress; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0043226|organelle; GO:0051726|regulation of cell cycle; GO:0048523|negative regulation of cellular process; GO:0000075|cell cycle checkpoint; GO:0051716|cellular response to stimulus; GO:0050794|regulation of cellular process; GO:0065007|biological regulation; GO:0008150|biological_process; GO:0050896|response to stimulus; GO:0048519|negative regulation of biological process; GO:0043227|membrane-bounded organelle;,PF02144|Rad1;,NA,NA,NA,Ophio5|1963
Ophcf2|02645,GQ602_002645,cell cycle checkpoint protein,GO:0043413|macromolecule glycosylation; GO:0005575|cellular_component; GO:0006464|cellular protein modification process; GO:0044425|membrane part; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0006486|protein glycosylation; GO:0043412|macromolecule modification; GO:0044267|cellular protein metabolic process; GO:0032991|protein-containing complex; GO:1990234|transferase complex; GO:0043170|macromolecule metabolic process; GO:0006487|protein N-linked glycosylation; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0044464|cell part; GO:0070085|glycosylation; GO:0044446|intracellular organelle part; GO:0019538|protein metabolic process; GO:0008250|oligosaccharyltransferase complex; GO:0044422|organelle part; GO:0044238|primary metabolic process; GO:0034998|oligosaccharyltransferase I complex; GO:0098796|membrane protein complex; GO:0036211|protein modification process; GO:0008150|biological_process; GO:0044444|cytoplasmic part; GO:1901564|organonitrogen compound metabolic process; GO:1902494|catalytic complex; GO:0008152|metabolic process; GO:0044432|endoplasmic reticulum part;,PF05251|Ost5;,NA,NA,2;,Ophio5|1962
Ophcf2|02646,GQ602_002646,Histone acetyltransferase GCN5,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF13673|Acetyltransf_10; PF00583|Acetyltransf_1; PF00439|Bromodomain;,NA,NA,NA,Ophio5|1961
Ophcf2|02647,GQ602_002647,predicted protein [,NA,NA,NA,NA,NA,Ophio5|1960
Ophcf2|02648,GQ602_002648,hydroxyproline-rich glycoprotein DZ-HRGP,NA,NA,NA,NA,NA,Ophio5|1959
Ophcf2|02649,GQ602_002649,polyketide synthase,NA,PF04193|PQ-loop;,NA,NA,6;,Ophio5|1958
Ophcf2|02650,GQ602_002650,ORF21 protein,NA,NA,NA,NA,NA,Ophio5|1957
Ophcf2|02651,GQ602_002651,putative WD repeat-containing protein,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF00400|WD40;,NA,NA,NA,Ophio5|3610
Ophcf2|02652,GQ602_002652,"glycine dehydrogenase, mitochondrial precursor","GO:0065008|regulation of biological quality; GO:0043436|oxoacid metabolic process; GO:0003674|molecular_function; GO:0019752|carboxylic acid metabolic process; GO:0044282|small molecule catabolic process; GO:0009056|catabolic process; GO:0042135|neurotransmitter catabolic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0009071|serine family amino acid catabolic process; GO:0009069|serine family amino acid metabolic process; GO:0001505|regulation of neurotransmitter levels; GO:0016054|organic acid catabolic process; GO:0055114|oxidation-reduction process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0006082|organic acid metabolic process; GO:0042133|neurotransmitter metabolic process; GO:0006544|glycine metabolic process; GO:0009063|cellular amino acid catabolic process; GO:0042737|drug catabolic process; GO:0003824|catalytic activity; GO:0016491|oxidoreductase activity; GO:1901606|alpha-amino acid catabolic process; GO:0044281|small molecule metabolic process; GO:0006546|glycine catabolic process; GO:0016638|oxidoreductase activity, acting on the CH-NH2 group of donors; GO:1901575|organic substance catabolic process; GO:0044238|primary metabolic process; GO:0006520|cellular amino acid metabolic process; GO:1901565|organonitrogen compound catabolic process; GO:0065007|biological regulation; GO:0008150|biological_process; GO:0046395|carboxylic acid catabolic process; GO:1901605|alpha-amino acid metabolic process; GO:1901564|organonitrogen compound metabolic process; GO:0004375|glycine dehydrogenase (decarboxylating) activity; GO:0008152|metabolic process; GO:0016642|oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor; GO:0044248|cellular catabolic process; GO:0017144|drug metabolic process;",PF02347|GDC-P;,NA,NA,NA,Ophio5|3611
Ophcf2|02653,GQ602_002653,Nucleoporin nup44,NA,PF18570|Nup54_57_C; PF13874|Nup54;,NA,NA,NA,Ophio5|3612
Ophcf2|02654,GQ602_002654,NADH-ubiquinone oxidoreductase 20.8 kDa subunit,NA,NA,NA,NA,NA,Ophio5|3613
Ophcf2|02655,GQ602_002655,SCP-like extracellular protein,NA,PF00188|CAP;,Has signal peptide;,NA,NA,Ophio5|3614
Ophcf2|02656,GQ602_002656,cell wall glycoprotein,NA,NA,NA,NA,NA,Ophio5|2231
Ophcf2|02657,GQ602_002657,"outer membrane protein, beta-barrel",NA,PF11578|DUF3237;,NA,NA,NA,Ophio5|2229
Ophcf2|02658,GQ602_002658,"Ribonuclease P/MRP, subunit POP7","GO:0005575|cellular_component; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0004549|tRNA-specific ribonuclease activity; GO:0044424|intracellular part; GO:0016787|hydrolase activity; GO:0034470|ncRNA processing; GO:0043170|macromolecule metabolic process; GO:0005488|binding; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0008033|tRNA processing; GO:0006807|nitrogen compound metabolic process; GO:0034660|ncRNA metabolic process; GO:0043227|membrane-bounded organelle; GO:0006396|RNA processing; GO:0004521|endoribonuclease activity; GO:0004540|ribonuclease activity; GO:0016893|endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0140098|catalytic activity, acting on RNA; GO:0003676|nucleic acid binding; GO:0044464|cell part; GO:1901363|heterocyclic compound binding; GO:0003824|catalytic activity; GO:0006139|nucleobase-containing compound metabolic process; GO:0006399|tRNA metabolic process; GO:0043231|intracellular membrane-bounded organelle; GO:0016788|hydrolase activity, acting on ester bonds; GO:0005634|nucleus; GO:0043226|organelle; GO:0004518|nuclease activity; GO:0034641|cellular nitrogen compound metabolic process; GO:0140101|catalytic activity, acting on a tRNA; GO:0044238|primary metabolic process; GO:0004526|ribonuclease P activity; GO:0008150|biological_process; GO:0016891|endoribonuclease activity, producing 5'-phosphomonoesters; GO:0090304|nucleic acid metabolic process; GO:1901360|organic cyclic compound metabolic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0004519|endonuclease activity;",PF12328|Rpp20; PF01918|Alba;,NA,NA,NA,Ophio5|2228
Ophcf2|02659,GQ602_002659,37S ribosomal protein rsm22,NA,PF10259|Rogdi_lz;,NA,NA,NA,Ophio5|2227
Ophcf2|02660,GQ602_002660,NIPSNAP family protein,NA,PF07978|NIPSNAP;,NA,NA,NA,Ophio5|2226
Ophcf2|02661,GQ602_002661,serine hydrolase FSH,NA,PF03959|FSH1; PF08237|PE-PPE;,NA,NA,NA,Ophio5|2224
Ophcf2|02662,GQ602_002662,26S proteasome non-ATPase regulatory subunit 12,NA,PF01399|PCI; PF18098|RPN5_C;,NA,NA,NA,Ophio5|2223
Ophcf2|02663,GQ602_002663,hypothetical protein CDD80_7381,NA,NA,Has signal peptide;,Small secreted protein;,NA,Ophio5|2221
Ophcf2|02664,GQ602_002664,hypothetical protein CDD80_911,NA,NA,NA,NA,1;,Ophio5|2220
Ophcf2|02665,GQ602_002665,related to mitotic spindle biogenesis protein Spc19,GO:0005575|cellular_component; GO:0022402|cell cycle process; GO:0008608|attachment of spindle microtubules to kinetochore; GO:0009987|cellular process; GO:0005876|spindle microtubule; GO:0099513|polymeric cytoskeletal fiber; GO:0044424|intracellular part; GO:0032991|protein-containing complex; GO:0000940|condensed chromosome outer kinetochore; GO:0044427|chromosomal part; GO:0044464|cell part; GO:0044446|intracellular organelle part; GO:0042729|DASH complex; GO:0000942|condensed nuclear chromosome outer kinetochore; GO:0044422|organelle part; GO:0005874|microtubule; GO:0099081|supramolecular polymer; GO:0044430|cytoskeletal part; GO:0008150|biological_process; GO:0099080|supramolecular complex; GO:0099512|supramolecular fiber; GO:0044454|nuclear chromosome part; GO:0044428|nuclear part;,PF08287|DASH_Spc19;,NA,NA,NA,Ophio5|2219
Ophcf2|02666,GQ602_002666,SHO1 osmosensor,GO:0003674|molecular_function; GO:0005488|binding; GO:0005515|protein binding;,PF00018|SH3_1; PF07653|SH3_2;,NA,NA,4;,Ophio5|2218
Ophcf2|02667,GQ602_002667,nuclear distribution protein,NA,PF07426|Dynactin_p22;,NA,NA,NA,Ophio5|2217
Ophcf2|02668,GQ602_002668,amino acid transporter,NA,PF01490|Aa_trans;,NA,NA,11;,Ophio5|2216
Ophcf2|02669,GQ602_002669,"Ribosomal protein S16, mitochondrial",GO:0005575|cellular_component; GO:0003735|structural constituent of ribosome; GO:0005622|intracellular; GO:0003674|molecular_function; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:1990904|ribonucleoprotein complex; GO:0044424|intracellular part; GO:0044267|cellular protein metabolic process; GO:0032991|protein-containing complex; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0043228|non-membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0006518|peptide metabolic process; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0043043|peptide biosynthetic process; GO:0009059|macromolecule biosynthetic process; GO:0043603|cellular amide metabolic process; GO:0044464|cell part; GO:0043604|amide biosynthetic process; GO:0005198|structural molecule activity; GO:0034645|cellular macromolecule biosynthetic process; GO:1901566|organonitrogen compound biosynthetic process; GO:0019538|protein metabolic process; GO:0005840|ribosome; GO:0043226|organelle; GO:0006412|translation; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:0044444|cytoplasmic part; GO:1901576|organic substance biosynthetic process; GO:1901564|organonitrogen compound metabolic process; GO:0008152|metabolic process; GO:0043232|intracellular non-membrane-bounded organelle;,PF00886|Ribosomal_S16;,NA,NA,NA,Ophio5|2215
Ophcf2|02670,GQ602_002670,phytoene synthase,NA,PF00494|SQS_PSY;,NA,NA,7;,Ophio5|2214
Ophcf2|02671,GQ602_002671,NAD(P)H-hydrate epimerase,NA,PF03853|YjeF_N;,NA,NA,NA,Ophio5|3498
Ophcf2|02672,GQ602_002672,MYND finger,NA,PF01753|zf-MYND;,NA,NA,NA,Ophio5|3499
Ophcf2|02673,GQ602_002673,amino-acid permease inda1,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0022857|transmembrane transporter activity; GO:0003674|molecular_function; GO:0006810|transport; GO:0008150|biological_process; GO:0016020|membrane; GO:0051179|localization; GO:0005215|transporter activity; GO:0055085|transmembrane transport;,PF00324|AA_permease; PF13520|AA_permease_2;,NA,NA,12;,Ophio5|3501
Ophcf2|02674,GQ602_002674,hypothetical protein CDD80_899,NA,NA,Has signal peptide;,Small secreted protein;,NA,Ophio5|3502
Ophcf2|02675,GQ602_002675,D-lactate dehydrogenase,NA,PF14420|Clr5;,NA,NA,NA,Ophio5|4885
Ophcf2|02676,GQ602_002676,"D-lactate dehydrogenase, mitochondrial precursor",GO:0003824|catalytic activity; GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0055114|oxidation-reduction process; GO:0003674|molecular_function; GO:0016491|oxidoreductase activity; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0008152|metabolic process; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding;,PF01565|FAD_binding_4; PF02913|FAD-oxidase_C;,NA,NA,1;,Ophio5|4886
Ophcf2|02677,GQ602_002677,kinesin protein 2,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0032553|ribonucleotide binding; GO:0009987|cellular process; GO:0008144|drug binding; GO:0007017|microtubule-based process; GO:0007018|microtubule-based movement; GO:0016787|hydrolase activity; GO:0005488|binding; GO:0015631|tubulin binding; GO:0008092|cytoskeletal protein binding; GO:0016462|pyrophosphatase activity; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0005515|protein binding; GO:0003824|catalytic activity; GO:0017111|nucleoside-triphosphatase activity; GO:0017076|purine nucleotide binding; GO:0003777|microtubule motor activity; GO:0005524|ATP binding; GO:0006928|movement of cell or subcellular component; GO:0032559|adenyl ribonucleotide binding; GO:0008017|microtubule binding; GO:1901265|nucleoside phosphate binding; GO:0003774|motor activity; GO:0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0016817|hydrolase activity, acting on acid anhydrides; GO:0030554|adenyl nucleotide binding;",PF00225|Kinesin; PF03676|UPF0183; PF16796|Microtub_bd;,NA,NA,NA,Ophio5|8395
Ophcf2|02678,GQ602_002678,RNA polymerase I specific transcription initiation factor,NA,NA,NA,NA,NA,NA
Ophcf2|02679,GQ602_002679,Pescadillo,GO:0005575|cellular_component; GO:0044428|nuclear part; GO:0044446|intracellular organelle part; GO:0043229|intracellular organelle; GO:0043228|non-membrane-bounded organelle; GO:0042254|ribosome biogenesis; GO:0022613|ribonucleoprotein complex biogenesis; GO:0008150|biological_process; GO:0043232|intracellular non-membrane-bounded organelle; GO:0044085|cellular component biogenesis; GO:0044422|organelle part; GO:0043226|organelle; GO:0005730|nucleolus; GO:0044424|intracellular part; GO:0044464|cell part; GO:0071840|cellular component organization or biogenesis;,PF06732|Pescadillo_N;,NA,NA,NA,Ophio5|6561
Ophcf2|02680,GQ602_002680,cell division control protein CDC91,GO:0005575|cellular_component; GO:0006464|cellular protein modification process; GO:0044425|membrane part; GO:0042765|GPI-anchor transamidase complex; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0043412|macromolecule modification; GO:0044267|cellular protein metabolic process; GO:0032991|protein-containing complex; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0044464|cell part; GO:0044446|intracellular organelle part; GO:0019538|protein metabolic process; GO:0044422|organelle part; GO:0044238|primary metabolic process; GO:0098796|membrane protein complex; GO:0036211|protein modification process; GO:0016021|integral component of membrane; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0044444|cytoplasmic part; GO:1901564|organonitrogen compound metabolic process; GO:1902494|catalytic complex; GO:0008152|metabolic process; GO:0044432|endoplasmic reticulum part; GO:0016255|attachment of GPI anchor to protein;,PF06728|PIG-U;,NA,NA,9;,Ophio5|6560
Ophcf2|02681,GQ602_002681,"Mitochondrial outer membrane translocase complex, Tom37/Metaxin",GO:0005575|cellular_component; GO:0044446|intracellular organelle part; GO:0044424|intracellular part; GO:0044425|membrane part; GO:0098799|outer mitochondrial membrane protein complex; GO:0044455|mitochondrial membrane part; GO:0044422|organelle part; GO:0044429|mitochondrial part; GO:0044444|cytoplasmic part; GO:0098798|mitochondrial protein complex; GO:0001401|SAM complex; GO:0032991|protein-containing complex; GO:0098796|membrane protein complex; GO:0044464|cell part;,PF17172|GST_N_4; PF10568|Tom37;,NA,NA,1;,Ophio5|6559
Ophcf2|02682,GQ602_002682,hypothetical protein CDD80_5889,NA,NA,NA,NA,NA,Ophio5|6930
Ophcf2|02683,GQ602_002683,isoleucine-tRNA ligase,"GO:0035639|purine ribonucleoside triphosphate binding; GO:0016874|ligase activity; GO:0097159|organic cyclic compound binding; GO:0043436|oxoacid metabolic process; GO:0003674|molecular_function; GO:0019752|carboxylic acid metabolic process; GO:0032553|ribonucleotide binding; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0008144|drug binding; GO:0005488|binding; GO:0043170|macromolecule metabolic process; GO:0044237|cellular metabolic process; GO:0004812|aminoacyl-tRNA ligase activity; GO:0043039|tRNA aminoacylation; GO:0006082|organic acid metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0034660|ncRNA metabolic process; GO:0043167|ion binding; GO:0000166|nucleotide binding; GO:0006725|cellular aromatic compound metabolic process; GO:0046483|heterocycle metabolic process; GO:0043168|anion binding; GO:0140098|catalytic activity, acting on RNA; GO:1901363|heterocyclic compound binding; GO:0097367|carbohydrate derivative binding; GO:0003824|catalytic activity; GO:0006139|nucleobase-containing compound metabolic process; GO:0006399|tRNA metabolic process; GO:0017076|purine nucleotide binding; GO:0005524|ATP binding; GO:0006418|tRNA aminoacylation for protein translation; GO:0044281|small molecule metabolic process; GO:0032559|adenyl ribonucleotide binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0140101|catalytic activity, acting on a tRNA; GO:0044238|primary metabolic process; GO:0006520|cellular amino acid metabolic process; GO:1901265|nucleoside phosphate binding; GO:0016875|ligase activity, forming carbon-oxygen bonds; GO:0032555|purine ribonucleotide binding; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0043038|amino acid activation; GO:1901564|organonitrogen compound metabolic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0030554|adenyl nucleotide binding;",PF09334|tRNA-synt_1g; PF08264|Anticodon_1; PF00133|tRNA-synt_1;,NA,NA,NA,Ophio5|6931
Ophcf2|02684,GQ602_002684,upf0183 domain containing protein,NA,NA,NA,NA,1;,Ophio5|6932
